method,original_sheet,excel_row,serial_number,hardness_scale_raw,position,ball_diameter_mm,applied_force_n,magnification_raw,manual_d1_um,manual_d2_um,manual_mean_dimension_um,manual_series_mean_dimension_um,manual_hardness,manual_series_mean_hardness,manual_expanded_uncertainty,manual_relative_expanded_uncertainty,automatic_d1_um,automatic_d2_um,automatic_mean_dimension_um,automatic_series_mean_dimension_um,automatic_hardness,automatic_series_mean_hardness,automatic_expanded_uncertainty,automatic_relative_expanded_uncertainty,picture_id,magnification,hardness_scale,hardness_level,series_id,record_id
Brinell,Brinell,3,293-250,HBW 1/5,1.0,1.0,49.05,20x,209.976,211.922,210.949,210.4625,141.497,142.16833333333332,3.9648853905631243,2.7888667592852077,211.318,213.35,212.334,211.88283333333334,139.636,140.24099999999999,3.34986203153742,2.388646709262926,100_HBW_1_5_1_20X,20X,HBW 1/5,1,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell|293-250|HBW 1/5|1|row3
Brinell,Brinell,4,293-250,HBW 1/5,2.0,1.0,49.05,20x,211.436,211.192,211.31400000000002,,141.003,,,,212.215,212.275,212.245,,139.754,,,,,20X,HBW 1/5,1,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell|293-250|HBW 1/5|2|row4
Brinell,Brinell,5,293-250,HBW 1/5,3.0,1.0,49.05,20x,209.49,208.759,209.1245,,144.005,,,,211.252,210.887,211.0695,,141.333,,,,,20X,HBW 1/5,1,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell|293-250|HBW 1/5|3|row5
Brinell,Brinell,6,294-367,HBW 1/5,1.0,1.0,49.05,20x,154.258,154.988,154.623,154.5825,264.758,264.8983333333333,6.803108965253398,2.568196213108198,155.476,155.559,155.51749999999998,155.18566666666666,261.701,262.832,6.871872918908403,2.6145495673694237,300_HBW_1_5_1_20X,20X,HBW 1/5,1,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell|294-367|HBW 1/5|1|row6
Brinell,Brinell,7,294-367,HBW 1/5,2.0,1.0,49.05,20x,154.501,154.988,154.74450000000002,,264.34,,,,155.086,155.477,155.2815,,262.502,,,,,20X,HBW 1/5,1,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell|294-367|HBW 1/5|2|row7
Brinell,Brinell,8,294-367,HBW 1/5,3.0,1.0,49.05,20x,154.745,154.015,154.38,,265.597,,,,155.118,154.398,154.75799999999998,,264.293,,,,,20X,HBW 1/5,1,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell|294-367|HBW 1/5|3|row8
Brinell,Brinell,9,290-736,HBW 1/5,1.0,1.0,49.05,20x,115.815,116.059,115.937,116.99216666666666,472.178,463.921,19.677498808151952,4.241562422945276,117.761,117.033,117.39699999999999,117.92666666666666,460.467,456.55733333333336,19.07498307631822,4.17800387457396,600_HBW_1_5_1_20X,20X,HBW 1/5,1,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell|290-736|HBW 1/5|1|row9
Brinell,Brinell,10,290-736,HBW 1/5,2.0,1.0,49.05,20x,119.224,119.222,119.223,,446.421,,,,120.442,119.595,120.01849999999999,,440.498,,,,,20X,HBW 1/5,1,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell|290-736|HBW 1/5|2|row10
Brinell,Brinell,11,290-736,HBW 1/5,3.0,1.0,49.05,20x,115.086,116.547,115.81649999999999,,473.164,,,,115.698,117.031,116.36449999999999,,468.707,,,,,20X,HBW 1/5,1,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell|290-736|HBW 1/5|3|row11
Brinell,Brinell,12,293-250,HBW 1/30,1.0,1.0,294.3,20x,466.565,463.586,465.07550000000003,464.74,166.519,166.77533333333335,2.7302658352933666,1.6370921171156605,470.313,465.067,467.69,466.62000000000006,164.542,165.34866666666665,3.4345943386569098,2.077182966089986,,20X,HBW 1/30,1,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,Brinell|293-250|HBW 1/30|1|row12
