category,method,item,value
workbook,Vickers,valid_observations,60
workbook,Vickers,series_count,20
workbook,Vickers,complete_three_position_series,20
workbook,Vickers,incomplete_series,0
workbook,Vickers,magnification_20X,54
workbook,Vickers,magnification_50X,6
images,Vickers,picture_ids_in_workbook,8
missing_values,Vickers,hardness_scale_raw,0
missing_values,Vickers,applied_force_n,0
missing_values,Vickers,manual_d1_um,0
missing_values,Vickers,manual_d2_um,0
missing_values,Vickers,manual_mean_dimension_um,0
missing_values,Vickers,manual_series_mean_dimension_um,40
missing_values,Vickers,manual_hardness,0
missing_values,Vickers,manual_series_mean_hardness,40
missing_values,Vickers,manual_expanded_uncertainty,40
missing_values,Vickers,manual_relative_expanded_uncertainty,40
missing_values,Vickers,automatic_d1_um,0
missing_values,Vickers,automatic_d2_um,0
missing_values,Vickers,automatic_mean_dimension_um,0
missing_values,Vickers,automatic_series_mean_dimension_um,40
missing_values,Vickers,automatic_hardness,0
missing_values,Vickers,automatic_series_mean_hardness,40
missing_values,Vickers,automatic_expanded_uncertainty,40
missing_values,Vickers,automatic_relative_expanded_uncertainty,40
missing_values,Vickers,hardness_scale,0
missing_values,Vickers,hardness_level,0
missing_values,Vickers,ball_diameter_mm,60
workbook,Micro-Vickers,valid_observations,54
workbook,Micro-Vickers,series_count,18
workbook,Micro-Vickers,complete_three_position_series,18
workbook,Micro-Vickers,incomplete_series,0
workbook,Micro-Vickers,magnification_50X,45
workbook,Micro-Vickers,magnification_20X,9
images,Micro-Vickers,picture_ids_in_workbook,20
missing_values,Micro-Vickers,hardness_scale_raw,0
missing_values,Micro-Vickers,applied_force_n,0
missing_values,Micro-Vickers,manual_d1_um,0
missing_values,Micro-Vickers,manual_d2_um,0
missing_values,Micro-Vickers,manual_mean_dimension_um,0
missing_values,Micro-Vickers,manual_series_mean_dimension_um,36
missing_values,Micro-Vickers,manual_hardness,0
missing_values,Micro-Vickers,manual_series_mean_hardness,36
missing_values,Micro-Vickers,manual_expanded_uncertainty,36
missing_values,Micro-Vickers,manual_relative_expanded_uncertainty,36
missing_values,Micro-Vickers,automatic_d1_um,0
missing_values,Micro-Vickers,automatic_d2_um,0
missing_values,Micro-Vickers,automatic_mean_dimension_um,0
missing_values,Micro-Vickers,automatic_series_mean_dimension_um,36
missing_values,Micro-Vickers,automatic_hardness,0
missing_values,Micro-Vickers,automatic_series_mean_hardness,36
missing_values,Micro-Vickers,automatic_expanded_uncertainty,36
missing_values,Micro-Vickers,automatic_relative_expanded_uncertainty,36
missing_values,Micro-Vickers,hardness_scale,0
missing_values,Micro-Vickers,hardness_level,0
missing_values,Micro-Vickers,ball_diameter_mm,54
workbook,Brinell,valid_observations,36
workbook,Brinell,series_count,12
workbook,Brinell,complete_three_position_series,12
workbook,Brinell,incomplete_series,0
workbook,Brinell,magnification_20X,33
workbook,Brinell,magnification_10X,3
images,Brinell,picture_ids_in_workbook,3
missing_values,Brinell,hardness_scale_raw,0
missing_values,Brinell,ball_diameter_mm,0
missing_values,Brinell,applied_force_n,0
missing_values,Brinell,manual_d1_um,0
missing_values,Brinell,manual_d2_um,0
missing_values,Brinell,manual_mean_dimension_um,0
missing_values,Brinell,manual_series_mean_dimension_um,24
missing_values,Brinell,manual_hardness,0
missing_values,Brinell,manual_series_mean_hardness,24
missing_values,Brinell,manual_expanded_uncertainty,24
missing_values,Brinell,manual_relative_expanded_uncertainty,24
missing_values,Brinell,automatic_d1_um,0
missing_values,Brinell,automatic_d2_um,0
missing_values,Brinell,automatic_mean_dimension_um,0
missing_values,Brinell,automatic_series_mean_dimension_um,24
missing_values,Brinell,automatic_hardness,0
missing_values,Brinell,automatic_series_mean_hardness,24
missing_values,Brinell,automatic_expanded_uncertainty,24
missing_values,Brinell,automatic_relative_expanded_uncertainty,24
missing_values,Brinell,hardness_scale,0
missing_values,Brinell,hardness_level,0
workbook,Knoop,valid_observations,33
workbook,Knoop,series_count,11
workbook,Knoop,complete_three_position_series,11
workbook,Knoop,incomplete_series,0
workbook,Knoop,magnification_50X,9
workbook,Knoop,magnification_10X,6
workbook,Knoop,magnification_20X,18
images,Knoop,picture_ids_in_workbook,0
missing_values,Knoop,hardness_scale_raw,0
missing_values,Knoop,applied_force_n,0
missing_values,Knoop,manual_d_um,0
missing_values,Knoop,manual_hardness,33
missing_values,Knoop,automatic_d_um,33
missing_values,Knoop,automatic_hardness,33
missing_values,Knoop,delta_um,33
missing_values,Knoop,hardness_scale,0
missing_values,Knoop,hardness_level,0
missing_values,Knoop,ball_diameter_mm,33
images,All,duplicate_picture_ids,0
calibration,All,calibration_image,stage_micrometer_0.002mm_20x.bmp
calibration,All,calibration_image,stage_micrometer_0.002mm_50x.bmp
