record_id,series_id,method,picture_id,excel_row,magnification,manual_mean_dimension_um,automatic_mean_dimension_um,manual_hardness,automatic_hardness,image_path,image_status,classification_reason,analysis_type,contour_area_px2,contour_perimeter_px,bbox_x,bbox_y,bbox_w,bbox_h,bbox_aspect,contour_extent,circularity,centrality,corner_count,corner_radius_cv,min_corner_angle_deg,max_corner_angle_deg,edge_strength,python_d1_um,python_d2_um,python_mean_dimension_um,diagonal_ratio,corner_points,python_hardness,python_minus_manual_dimension_um,python_minus_automatic_dimension_um,python_minus_manual_relative_percent,python_minus_automatic_relative_percent,circle_radius_um,radial_residual_sd_um,radial_cv,ellipse_major_um,ellipse_minor_um,ellipse_axis_ratio,diameter_direction_range_4_um,diameter_direction_range_6_um,diameter_0deg_um,diameter_45deg_um,diameter_90deg_um,diameter_135deg_um,diameter6_0deg_um,diameter6_30deg_um,diameter6_60deg_um,diameter6_90deg_um,diameter6_120deg_um,diameter6_150deg_um
Vickers|293-250|HV 3|1|row3,Vickers|SN=293-250|scale=HV 3|F=29.43N|mag=20X,Vickers,293-250_160_HV_3_1_20X,3,20X,183.9235,184.3595,164.421,163.709,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\293-250_160_HV_3_1_20X.bmp,conditionally reliable,all configured image checks passed; elevated agreement difference,Vickers contour-corner,336063.0,5800.071402788162,124.0,66.0,786.0,793.0,1.008905852417303,0.5391690651983482,0.12553472741351376,0.9737161444266373,4.0,0.08667518282313239,48.09673544545985,166.0368048314639,132.83447265625,189.73822726060666,192.4540165417334,191.09612190117002,1.0143133480286848,"[[124.0, 419.0], [484.0, 71.0], [793.0, 816.0], [427.0, 858.0]]",152.39757056123267,7.172621901170032,6.736621901170025,3.8251981935282595,3.5885050100239457,,,,,,,,,,,,,,,,,,
Vickers|294-367|HV 3|1|row6,Vickers|SN=294-367|scale=HV 3|F=29.43N|mag=20X,Vickers,294-367_300_HV_3_1_20X,6,20X,135.35750000000002,135.4475,303.553,303.17,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\294-367_300_HV_3_1_20X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,315198.5,5360.545367836952,205.0,135.0,683.0,658.0,1.0379939209726443,0.701354430436079,0.13784025067104783,0.9646774147223138,4.0,0.058921218543945504,50.174403377901236,128.12341304139517,61.611690521240234,165.553710118402,194.2451335850536,179.8994218517278,1.1733058319631244,"[[335.0, 157.0], [839.0, 244.0], [887.0, 552.0], [224.0, 750.0]]",171.9579486672947,44.54192185172778,44.4519218517278,28.257537750544177,28.192393057591694,,,,,,,,,,,,,,,,,,
Vickers|294-481|HV 3|1|row9,Vickers|SN=294-481|scale=HV 3|F=29.43N|mag=20X,Vickers,294_481_503_HV_3_1_20X,9,20X,103.7525,104.126,516.694,512.994,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\294_481_503_HV_3_1_20X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,250436.0,4921.679486513138,220.0,185.0,657.0,578.0,1.1366782006920415,0.6594829175290853,0.12992118316244,0.952184804935345,4.0,0.06670121268839325,67.05576248438963,117.73243021597548,22.671567916870117,165.30198781109988,170.38030038088974,167.84114409599482,1.0307214246908702,"[[286.0, 248.0], [864.0, 335.0], [791.0, 700.0], [241.0, 651.0]]",197.5535910196183,64.08864409599482,63.715144095994816,47.194509510202444,46.85503045434459,,,,,,,,,,,,,,,,,,
Vickers|216-610|HV 3|1|row12,Vickers|SN=216-610|scale=HV 3|F=29.43N|mag=50X,Vickers,216-610_701_HV_3_1_50X,12,50X,87.1565,86.6305,732.203,740.873,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\216-610_701_HV_3_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,2650.0,347.7401144504547,275.0,66.0,79.0,68.0,1.161764705882353,0.4932985852568876,0.27538872320261143,0.4103951914610354,4.0,0.13692829865780098,51.9658360289683,153.6586600524421,90.32637023925781,7.65656267473026,7.619735558859226,7.638149116794743,1.004833122565286,"[[275.0, 81.0], [308.0, 66.0], [353.0, 89.0], [348.0, 133.0]]",95390.58793765279,-79.51835088320524,-78.99235088320526,-167.76970350980918,-167.58986497268504,,,,,,,,,,,,,,,,,,
Vickers|221-101|HV 3|1|row15,Vickers|SN=221-101|scale=HV 3|F=29.43N|mag=50X,Vickers,221-101_898_HV_3_1_50X,15,50X,78.242,78.0055,908.555,914.084,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\221-101_898_HV_3_1_50X.bmp,reliable,all configured image checks passed,Vickers contour-corner,331171.0,3065.5129659175873,194.0,46.0,791.0,783.0,1.0102171136653895,0.5347047644881029,0.4428491839743297,0.909899865502215,4.0,0.05586906231612164,80.90020656963063,97.44227237959979,26.076810836791992,79.52965770290056,79.57628358108748,79.55297064199402,1.0005862703239727,"[[493.0, 46.0], [984.0, 356.0], [724.0, 827.0], [194.0, 556.0]]",879.3646187673743,1.3109706419940181,1.5474706419940247,1.6616127075030223,1.9643128493043114,,,,,,,,,,,,,,,,,,
Vickers|294-481|HV 20|1|row24,Vickers|SN=294-481|scale=HV 20|F=196.2N|mag=20X,Vickers,294_481_503_HV_20_1_20X,24,20X,269.923,269.9075,508.932,508.993,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\294_481_503_HV_20_1_20X.bmp,rejected,No suitable indentation contour detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vickers|216-610|HV 20|1|row27,Vickers|SN=216-610|scale=HV 20|F=196.2N|mag=20X,Vickers,216-610_701_HV_20_1_20X,27,20X,227.7215,227.719,715.042,715.058,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\216-610_701_HV_20_1_20X.bmp,reliable,all configured image checks passed,Vickers contour-corner,428740.0,3032.9099345207214,101.0,24.0,847.0,843.0,1.0047449584816133,0.6004585299311925,0.585712968885399,0.9937884928015452,4.0,0.05773426336767483,82.08938401795449,98.44895967316994,171.7323455810547,227.4663228239211,228.24316744652012,227.8547451352206,1.0034152071961895,"[[333.0, 24.0], [947.0, 252.0], [734.0, 866.0], [101.0, 652.0]]",714.6187011888027,0.1332451352206192,0.13574513522061693,0.05849520761604698,0.05959304576708031,,,,,,,,,,,,,,,,,,
Vickers|221-101|HV 20|1|row30,Vickers|SN=221-101|scale=HV 20|F=196.2N|mag=20X,Vickers,221-101_898_HV_20_1_20X,30,20X,202.687,202.761,902.585,901.926,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\221-101_898_HV_20_1_20X.bmp,conditionally reliable,all configured image checks passed; elevated agreement difference,Vickers contour-corner,361943.5,3026.9961591959,105.0,25.0,841.0,839.0,1.00238379022646,0.5129592020396855,0.4963944371515983,0.9937884928015452,4.0,0.04408305110489385,82.23675795307922,94.35970152741723,17.029386520385742,207.8571158435084,207.17010572648311,207.51361078499576,1.003316164340488,"[[450.0, 25.0], [945.0, 388.0], [605.0, 863.0], [105.0, 514.0]]",861.5834683011491,4.826610784995751,4.752610784995767,2.35329283189468,2.316794975883297,,,,,,,,,,,,,,,,,,
Micro-Vickers|710-404|HV 0.05|1|row3,Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,710-404_39.6_HMV_0.05_1_50X,3,50X,44.215,44.378,47.418,47.07,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\710-404_39.6_HMV_0.05_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,95839.0,2080.5525081157684,271.0,215.0,485.0,580.0,1.1958762886597938,0.3407003199431212,0.27822411905253824,0.9150619857542281,4.0,0.2727051660917449,75.76374838702537,104.09711633748383,96.78842163085938,59.236856233809206,47.6118768392719,53.42436653654055,1.2441613346556553,"[[474.0, 215.0], [755.0, 370.0], [655.0, 794.0], [271.0, 429.0]]",32.49763659446295,9.20936653654055,9.046366536540553,18.864044008507648,18.499279428296216,,,,,,,,,,,,,,,,,,
Micro-Vickers|711-081|HV 0.05|1|row6,Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,711-081_102_HMV_0.05_1_50X,6,50X,28.5925,28.6245,113.39,113.141,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\711-081_102_HMV_0.05_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,112042.0,4495.155539512634,255.0,220.0,568.0,473.0,1.200845665961945,0.41703391596938927,0.069678897337219,0.979924291552368,4.0,0.20763603516236925,58.181177124601795,159.24063213044073,55.1180419921875,48.92682401571195,51.75063986675891,50.33873194123543,1.057715085903392,"[[255.0, 384.0], [822.0, 330.0], [734.0, 531.0], [434.0, 691.0]]",36.60378519390184,21.74623194123543,21.71423194123543,55.101716789180664,54.99833633302952,,,,,,,,,,,,,,,,,,
