record_id,series_id,method,picture_id,magnification,image_status,classification_reason,edge_strength,diagonal_ratio,corner_radius_cv,min_corner_angle_deg,circularity,ellipse_axis_ratio,radial_cv,diameter_direction_range_4_um,python_minus_manual_relative_percent,python_minus_automatic_relative_percent
Vickers|293-250|HV 3|1|row3,Vickers|SN=293-250|scale=HV 3|F=29.43N|mag=20X,Vickers,293-250_160_HV_3_1_20X,20X,conditionally reliable,all configured image checks passed; elevated agreement difference,132.83447265625,1.0143133480286848,0.08667518282313239,48.09673544545985,0.12553472741351376,,,,3.8251981935282595,3.5885050100239457
Vickers|294-367|HV 3|1|row6,Vickers|SN=294-367|scale=HV 3|F=29.43N|mag=20X,Vickers,294-367_300_HV_3_1_20X,20X,rejected,all configured image checks passed; excessive agreement difference,61.611690521240234,1.1733058319631244,0.058921218543945504,50.174403377901236,0.13784025067104783,,,,28.257537750544177,28.192393057591694
Vickers|294-481|HV 3|1|row9,Vickers|SN=294-481|scale=HV 3|F=29.43N|mag=20X,Vickers,294_481_503_HV_3_1_20X,20X,rejected,all configured image checks passed; excessive agreement difference,22.671567916870117,1.0307214246908702,0.06670121268839325,67.05576248438963,0.12992118316244,,,,47.194509510202444,46.85503045434459
Vickers|216-610|HV 3|1|row12,Vickers|SN=216-610|scale=HV 3|F=29.43N|mag=50X,Vickers,216-610_701_HV_3_1_50X,50X,rejected,all configured image checks passed; excessive agreement difference,90.32637023925781,1.004833122565286,0.13692829865780098,51.9658360289683,0.27538872320261143,,,,-167.76970350980918,-167.58986497268504
Vickers|221-101|HV 3|1|row15,Vickers|SN=221-101|scale=HV 3|F=29.43N|mag=50X,Vickers,221-101_898_HV_3_1_50X,50X,reliable,all configured image checks passed,26.076810836791992,1.0005862703239727,0.05586906231612164,80.90020656963063,0.4428491839743297,,,,1.6616127075030223,1.9643128493043114
Vickers|294-481|HV 20|1|row24,Vickers|SN=294-481|scale=HV 20|F=196.2N|mag=20X,Vickers,294_481_503_HV_20_1_20X,20X,rejected,No suitable indentation contour detected,,,,,,,,,,
Vickers|216-610|HV 20|1|row27,Vickers|SN=216-610|scale=HV 20|F=196.2N|mag=20X,Vickers,216-610_701_HV_20_1_20X,20X,reliable,all configured image checks passed,171.7323455810547,1.0034152071961895,0.05773426336767483,82.08938401795449,0.585712968885399,,,,0.05849520761604698,0.05959304576708031
Vickers|221-101|HV 20|1|row30,Vickers|SN=221-101|scale=HV 20|F=196.2N|mag=20X,Vickers,221-101_898_HV_20_1_20X,20X,conditionally reliable,all configured image checks passed; elevated agreement difference,17.029386520385742,1.003316164340488,0.04408305110489385,82.23675795307922,0.4963944371515983,,,,2.35329283189468,2.316794975883297
Micro-Vickers|710-404|HV 0.05|1|row3,Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,710-404_39.6_HMV_0.05_1_50X,50X,rejected,all configured image checks passed; excessive agreement difference,96.78842163085938,1.2441613346556553,0.2727051660917449,75.76374838702537,0.27822411905253824,,,,18.864044008507648,18.499279428296216
Micro-Vickers|711-081|HV 0.05|1|row6,Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,711-081_102_HMV_0.05_1_50X,50X,rejected,all configured image checks passed; excessive agreement difference,55.1180419921875,1.057715085903392,0.20763603516236925,58.181177124601795,0.069678897337219,,,,55.101716789180664,54.99833633302952
