method,applied_force_n,magnification,n,mean_difference,median_difference,sd_difference,mad_difference,iqr_difference,rmse,mae,symmetric_mean_relative_difference_percent,bias_ci_low,bias_ci_high,cohens_dz,paired_t_p,wilcoxon_p
Brinell,49.05,20X,9,0.98599999999999,0.8944999999999936,0.5140956258323951,0.5300295000000236,0.8369999999999891,1.098692075960212,0.98599999999999,0.6195641491668172,0.5908311203133645,1.3811688796866155,1.9179311210896095,0.00042713526120841675,0.00390625
Brinell,294.3,20X,9,0.9298333333333125,0.5999999999999659,0.9939214946362575,1.0941587999999993,1.5184999999999604,1.3201157251459865,1.047166666666644,0.23730337292071862,0.16583764110014088,1.693829025566484,0.9355198960392751,0.022964480061860956,0.01953125
Brinell,4905.0,10X,3,35.53650000000008,25.6550000000002,22.67971653813165,9.163950600000396,21.003250000000094,40.071883664443256,35.53650000000008,2.8977196415355397,-20.803039144180396,91.87603914418057,1.5668846627889808,0.11318119463566735,0.25
Brinell,4905.0,20X,6,27.743583333333316,29.40625,9.475602489639567,11.104673999999676,14.588374999999473,29.060780299658102,27.743583333333316,1.4176341220773991,17.799548371218435,37.687618295448196,2.927896496678453,0.0008197562732174001,0.03125
Brinell,29430.0,20X,9,15.31516666666635,11.693999999999505,12.40281450417595,12.08393129999961,13.419499999999061,19.26893709589461,15.31516666666635,0.38942875421026496,5.781519488399702,24.848813844932998,1.2348138127446662,0.006004132032272852,0.00390625
Micro-Vickers,0.4905,50X,9,0.07983333333333399,0.07800000000000296,0.059516279285587136,0.023721600000002653,0.030000000000001137,0.09758059347135749,0.08661111111111176,0.23973649620562862,0.03408507128515733,0.12558159538151065,1.341369694000125,0.003819241657024228,0.0078125
Micro-Vickers,4.905,50X,15,0.057933333333333316,0.09100000000000108,0.18633321407270886,0.1052646000000075,0.24149999999999672,0.18910755317190797,0.15573333333333275,0.086395516699695,-0.04525456120058793,0.16112122786725455,0.31091254246667593,0.24849233643164165,0.30279541015625
Micro-Vickers,9.81,20X,3,0.12749999999999773,0.10900000000000887,0.13420972393979855,0.15641430000000944,0.13324999999998965,0.16812024466632222,0.12749999999999773,0.09507142064944729,-0.2058954365224569,0.46089543652245235,0.9500056795973252,0.24161423716070476,0.25
Micro-Vickers,9.81,50X,12,-0.4129166666666671,-0.3922499999999971,0.26077967305522054,0.2286910500000069,0.28612500000000374,0.4825339798052225,0.4163333333333335,-0.7853936818830861,-0.578608165997949,-0.2472251673353852,-1.583392838211095,0.00019048502613067545,0.0009765625
Micro-Vickers,19.62,20X,6,0.18450000000000225,0.14674999999999727,0.19605789961132014,0.22683779999999804,0.29312499999999986,0.2570457157783473,0.204500000000003,0.10268104776927256,-0.021250147335266173,0.39025014733527064,0.9410485390579459,0.06933073894466515,0.09375
Micro-Vickers,19.62,50X,9,-0.13105555555555526,-0.060000000000002274,0.16625609846792658,0.0726473999999887,0.3059999999999974,0.20431695149122064,0.15049999999999938,-0.1858192567734029,-0.2588513057455385,-0.0032598053655720494,-0.7882751776521325,0.04561334771328725,0.0390625
Vickers,29.43,20X,9,0.14244444444444404,0.13750000000001705,0.27815659308702684,0.21052919999997285,0.3739999999999952,0.2984371327804664,0.24177777777777798,0.12879318251118949,-0.07136564018655142,0.35625452907543953,0.5121016290269181,0.1630160184374986,0.25
Vickers,29.43,50X,6,-0.24041666666667064,-0.3812500000000014,0.4594512397052228,0.40956825000000674,0.7631250000000023,0.4834387672360049,0.4520833333333343,-0.29057820375010285,-0.7225811724077245,0.24174783907438316,-0.5232691652348538,0.2561493116864865,0.3125
Vickers,196.2,20X,15,-0.0778666666666633,-0.015499999999974534,0.40625491059301755,0.35582400000001346,0.3989999999999583,0.4001292291247773,0.31419999999998255,-0.04542001112343216,-0.30284313732316215,0.14710980398983559,-0.19166947804520057,0.4701581592579425,0.45428466796875
Vickers,490.5,20X,15,-0.02520000000000664,-0.1410000000000764,0.42391566715224815,0.44626260000006607,0.5302499999999668,0.41031601642310644,0.35373333333332463,-0.025126250034874047,-0.2599566716490781,0.2095566716490648,-0.05944578592552025,0.8212412225016694,0.846923828125
Vickers,981.0,20X,15,0.00993333333335992,0.04100000000005366,0.24723447998862774,0.31505249999996626,0.38250000000005,0.23905766389445798,0.21006666666668253,-0.006640841720469708,-0.12698055812273085,0.14684722478945067,0.04017778318710575,0.8785634758248935,0.93408203125
