folder,file,suffix,size_bytes
data,Hardness_measurement_results.xlsx,.xlsx,54641
docs,22RPT01 Tracind BVK-H Annex 1 v1.0.pdf,.pdf,1855442
docs,APPLICATION.docx,.docx,17882
docs,Research Mobility Support (RMS) Applicants Guide.pdf,.pdf,399497
docs,RMS Sampling.docx,.docx,20319
images\indentations,100_HBW_10_3000_1_10X.bmp,.bmp,523535
images\indentations,100_HBW_10_500_1_10X.bmp,.bmp,669740
images\indentations,100_HBW_10_500_1_20X.bmp,.bmp,744589
images\indentations,100_HBW_1_30_1_10X.bmp,.bmp,423503
images\indentations,100_HBW_1_5_1_20X.bmp,.bmp,650148
images\indentations,100_HK_0.05_1_50X.bmp,.bmp,580039
images\indentations,100_HK_1_1_10X.bmp,.bmp,604413
images\indentations,100_HK_2_1_10X.bmp,.bmp,609152
images\indentations,216-610_701_HV_100_1_10X.bmp,.bmp,416864
images\indentations,216-610_701_HV_20_1_20X.bmp,.bmp,494540
images\indentations,216-610_701_HV_3_1_50X.bmp,.bmp,590707
images\indentations,216-610_701_HV_50_1_10X.bmp,.bmp,498921
images\indentations,221-101_898_HV_100_1_10X.bmp,.bmp,414809
images\indentations,221-101_898_HV_20_1_20X.bmp,.bmp,457953
images\indentations,221-101_898_HV_3_1_50X.bmp,.bmp,535056
images\indentations,221-101_898_HV_50_1_10X.bmp,.bmp,465090
images\indentations,293-250_160_HV_20_1_10X.bmp,.bmp,490048
images\indentations,293-250_160_HV_3_1_20X.bmp,.bmp,571446
images\indentations,294-367_300_HV_20_1_10X.bmp,.bmp,560350
images\indentations,294-367_300_HV_3_1_20X.bmp,.bmp,524415
images\indentations,294-367_300_HV_50_1_10X.bmp,.bmp,399945
images\indentations,294_481_503_HV_20_1_20X.bmp,.bmp,413022
images\indentations,294_481_503_HV_3_1_20X.bmp,.bmp,485254
images\indentations,294_481_503_HV_50_1_10X.bmp,.bmp,526979
images\indentations,300_HBW_10_3000_1_10X.bmp,.bmp,611499
images\indentations,300_HBW_10_500_1_10X.bmp,.bmp,870625
images\indentations,300_HBW_1_30_1_10X.bmp,.bmp,553904
images\indentations,300_HBW_1_30_1_20X.bmp,.bmp,584332
images\indentations,300_HBW_1_5_1_20X.bmp,.bmp,569647
images\indentations,500_HK_0.05_1_50X.bmp,.bmp,486445
images\indentations,500_HK_1_1_20X.bmp,.bmp,520824
images\indentations,500_HK_2_1_20X.bmp,.bmp,528617
images\indentations,500_KH_1_1_20X.bmp,.bmp,520824
images\indentations,600_HBW_10_3000_1_10X.bmp,.bmp,737537
images\indentations,600_HBW_10_3000_1_20X.bmp,.bmp,762695
images\indentations,600_HBW_10_500_1_10X.bmp,.bmp,763574
images\indentations,600_HBW_1_30_1_10X.bmp,.bmp,626145
images\indentations,600_HBW_1_30_1_20X.bmp,.bmp,604648
images\indentations,600_HBW_1_5_1_20X.bmp,.bmp,524996
images\indentations,706-437_307_HMV_0.5_1_50X.bmp,.bmp,572225
images\indentations,706-437_307_HMV_1_1_50X.bmp,.bmp,638821
images\indentations,706-437_307_HMV_1_2_50X.bmp,.bmp,633955
images\indentations,706-437_307_HMV_2_1_50X.bmp,.bmp,641314
images\indentations,709-293_904_HMV_0.5_1_50X.bmp,.bmp,478406
images\indentations,709-293_904_HMV_1_1_50X.bmp,.bmp,486818
images\indentations,709-293_904_HMV_2_1_50X.bmp,.bmp,531106
images\indentations,710-106_708_HMV_0.5_1_50X.bmp,.bmp,497407
images\indentations,710-106_708_HMV_1_1_50X.bmp,.bmp,553336
images\indentations,710-106_708_HMV_2_1_50X.bmp,.bmp,584990
images\indentations,710-404_39.6_HMV_0.05_1_50X.bmp,.bmp,573923
images\indentations,710-655_197_HMV_0.05_1_50X.bmp,.bmp,602669
images\indentations,711-081_102_HMV_0.05_1_50X.bmp,.bmp,563576
images\indentations,711-081_102_HMV_0.5_1_50X.bmp,.bmp,631314
images\indentations,711-081_102_HMV_1_1_20X.bmp,.bmp,636930
images\indentations,711-081_102_HMV_2_1_20X.bmp,.bmp,637374
images\indentations,711-246_502_HMV_0.5_1_50X.bmp,.bmp,532149
images\indentations,711-246_502_HMV_1_1_50X.bmp,.bmp,562900
images\indentations,711-246_502_HMV_1_3_50X.bmp,.bmp,590496
images\indentations,711-246_502_HMV_2_1_50X.bmp,.bmp,633983
images\indentations,900_HK_0.05_1_50X.bmp,.bmp,456048
images\indentations,900_HK_2_1_20X.bmp,.bmp,492591
images\calibration,stage_micrometer_0.002mm_20x.bmp,.bmp,495991
images\calibration,stage_micrometer_0.002mm_50x.bmp,.bmp,418798
