method,representation,n,bias,sd_diff,lower_loa,upper_loa,n_ci_low,n_ci_high,bias_ci_low,bias_ci_high,sd_diff_ci_low,sd_diff_ci_high,lower_loa_ci_low,lower_loa_ci_high,upper_loa_ci_low,upper_loa_ci_high,proportional_bias_slope,proportional_bias_p,absdiff_pairmean_spearman,measurand
Brinell,absolute,36,11.893055555555472,15.269582700246968,-18.035326536928586,41.82143764803953,36.0,36.0,5.19251770833327,18.963275347222133,9.385917480384146,18.568563621329666,-22.323143403192702,-10.560970639782003,24.639636060881973,53.94462334148158,0.004665918243820055,0.003634578216369609,0.7490347490347491,dimension
Brinell,relative_percent,36,0.789323059548645,0.9242064869349935,-1.0221216548439425,2.6007677739412323,36.0,36.0,0.42593419386810427,1.2499986551912075,0.34598677793601273,1.3639443130734976,-1.579582803913263,-0.21829842304459807,1.1227593344560787,3.8243900013724876,1.9420898403489284e-06,0.9850015946179278,0.05225225225225225,dimension
Brinell,log_ratio,36,0.00789361130889553,0.009243494694760827,-0.010223638292835688,0.02601086091062675,36.0,36.0,0.004259381817874399,0.012501011393341125,0.0034599076242500673,0.013642046871554158,-0.01579991676576774,-0.002183195156015644,0.011227707893032499,0.03824993228596037,0.0012914470229344747,0.29423374998893886,0.05225225225225225,dimension
Micro-Vickers,absolute,54,-0.05662037037037019,0.27813433253683234,-0.6017636621425615,0.48852292140182113,54.0,54.0,-0.181339583333333,0.04944513888888966,0.18513816049656828,0.3558245984885556,-0.848703295741324,-0.34165821659871576,0.33752130443179923,0.6193950329595611,0.0021505226159910505,0.018122541147787993,0.08161009359388778,dimension
Micro-Vickers,relative_percent,54,-0.12485621719717778,0.5347901317014088,-1.1730448753319391,0.9233324409375835,54.0,54.0,-0.37885612168027455,0.07070182490467564,0.3180662027096549,0.7383786784366048,-1.762597289753,-0.5873524285873237,0.5927774476588642,1.196160952493934,0.0017079493371356714,0.33989102746660677,-0.43419096626643794,dimension
Micro-Vickers,log_ratio,54,-0.0012485864809605102,0.005347983310220127,-0.01173063376899196,0.009233460807070938,54.0,54.0,-0.0037886324966947536,0.000707022794564354,0.003180671494690607,0.007383935314442292,-0.017626324821561037,-0.005873554754207981,0.005927792379457144,0.011961777654357528,0.0003978944259716628,0.766617974399904,-0.43419096626643794,dimension
Vickers,absolute,60,-0.025958333333327963,0.3670218819004993,-0.7453212218583065,0.6934045551916506,60.0,60.0,-0.14365062499999434,0.08526000000000454,0.30229838963973643,0.4163522358310422,-0.9004450736992057,-0.561645933770941,0.5149995725434052,0.8173385760348266,0.00043301159110161743,0.01801044341309084,-0.10597388163378718,dimension
Vickers,relative_percent,60,-0.02903561871802584,0.22267275114634125,-0.4654742109648547,0.407402973528803,60.0,60.0,-0.09246026169335679,0.02994825527415867,0.1120333261228275,0.31132590355689754,-0.6893481632451521,-0.2235156763354406,0.2017464283420666,0.5534589869125544,0.0001367717735418234,0.22637551101070472,-0.5789941650458462,dimension
Vickers,log_ratio,60,-0.00029035772241194915,0.0022267341543435837,-0.004654756664925374,0.004074041220101475,60.0,60.0,-0.0009246066637639028,0.00029948281048184874,0.0011203337186897835,0.003113268870871579,-0.00689350679779111,-0.002235158202493806,0.0020174651093319454,0.00553460863211922,0.0005232921010860701,0.18653170941804786,-0.5789941650458462,dimension
Brinell,absolute,36,-4.7447222222222205,7.553206519130464,-19.549006999717932,10.059562555273489,36.0,36.0,-8.526377083333333,-2.1296583333333317,1.9087351516235933,11.770093598233094,-31.17667114750151,-5.972001468473932,1.398564835288756,15.079186841341862,-0.011893083583748135,0.15358565016534004,0.15020271605850366,hardness
Brinell,relative_percent,36,-1.6019500116957586,1.8532132391460692,-5.234247960422055,2.030347937030537,36.0,36.0,-2.5276208606175916,-0.8785419309713811,0.7057196504399141,2.732532078074045,-7.678491440025352,-2.278344404949014,0.41933182950285136,3.1505148980028825,0.00037586506042327074,0.8562995247812389,-0.3051676433373712,hardness
