pair_mean,difference,manual,automatic,method,representation,source_index,series_id,magnification,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,serial_number
211.6415,1.384999999999991,210.949,212.334,Brinell,absolute,114,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,293-250
211.7795,0.9309999999999832,211.31400000000002,212.245,Brinell,absolute,115,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,293-250
210.097,1.9449999999999932,209.1245,211.0695,Brinell,absolute,116,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,293-250
155.07025,0.8944999999999936,154.623,155.51749999999998,Brinell,absolute,117,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,294-367
155.013,0.5369999999999777,154.74450000000002,155.2815,Brinell,absolute,118,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,294-367
154.569,0.3779999999999859,154.38,154.75799999999998,Brinell,absolute,119,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,294-367
116.667,1.4599999999999937,115.937,117.39699999999999,Brinell,absolute,120,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,290-736
119.62074999999999,0.7954999999999899,119.223,120.01849999999999,Brinell,absolute,121,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,290-736
116.09049999999999,0.5480000000000018,115.81649999999999,116.36449999999999,Brinell,absolute,122,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,290-736
466.38275,2.614499999999964,465.07550000000003,467.69,Brinell,absolute,123,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,293-250
465.523,1.3379999999999654,464.85400000000004,466.192,Brinell,absolute,124,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,293-250
465.13424999999995,1.6874999999999432,464.2905,465.97799999999995,Brinell,absolute,125,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,293-250
352.2265,0.5999999999999659,351.92650000000003,352.5265,Brinell,absolute,126,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,294-367
350.464,0.16899999999998272,350.3795,350.5485,Brinell,absolute,127,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,294-367
349.9715,0.5679999999999836,349.6875,350.2555,Brinell,absolute,128,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,294-367
255.632,1.789999999999992,254.737,256.527,Brinell,absolute,129,Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,290-736
254.80575,0.12950000000000728,254.74099999999999,254.8705,Brinell,absolute,130,Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,290-736
255.08249999999998,-0.5279999999999916,255.3465,254.8185,Brinell,absolute,131,Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,290-736
2219.79675,36.769499999999425,2201.4120000000003,2238.1814999999997,Brinell,absolute,132,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,812-006
2218.1002500000004,19.73050000000012,2208.235,2227.9655000000002,Brinell,absolute,133,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,812-006
2218.2655,37.02300000000014,2199.754,2236.777,Brinell,absolute,134,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,812-006
1699.9185,25.78800000000001,1687.0245,1712.8125,Brinell,absolute,135,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,810-202
1691.926,14.126000000000204,1684.8629999999998,1698.989,Brinell,absolute,136,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,810-202
1703.24225,33.02449999999999,1686.73,1719.7545,Brinell,absolute,137,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,810-202
1218.1195,25.6550000000002,1205.292,1230.9470000000001,Brinell,absolute,138,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,10X,HBW 10/500,10,4905.0,10.0,8301-50DW
1233.5887500000001,61.48050000000012,1202.8485,1264.3290000000002,Brinell,absolute,139,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,10X,HBW 10/500,10,4905.0,10.0,8301-50DW
1214.7179999999998,19.473999999999933,1204.981,1224.455,Brinell,absolute,140,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,10X,HBW 10/500,10,4905.0,10.0,8301-50DW
4842.12175,19.844499999999243,4832.199500000001,4852.044,Brinell,absolute,141,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,812-006
4865.60525,29.746499999999287,4850.732,4880.478499999999,Brinell,absolute,142,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,812-006
4845.0905,11.319999999999709,4839.4305,4850.7505,Brinell,absolute,143,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,812-006
3813.5032499999998,14.26949999999988,3806.3685,3820.638,Brinell,absolute,144,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,810-202
3821.081,39.228999999999814,3801.4665,3840.6955,Brinell,absolute,145,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,810-202
3808.39075,2.95049999999992,3806.9155,3809.866,Brinell,absolute,146,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,810-202
2659.7875,6.425000000000182,2656.575,2663.0,Brinell,absolute,147,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,8301-50DW
2651.1435,11.693999999999505,2645.2965000000004,2656.9905,Brinell,absolute,148,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,8301-50DW
2646.8062499999996,2.357499999999618,2645.6275,2647.9849999999997,Brinell,absolute,149,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,8301-50DW
211.6415,0.6544085162881528,210.949,212.334,Brinell,relative_percent,114,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,293-250
211.7795,0.4396081773731561,211.31400000000002,212.245,Brinell,relative_percent,115,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,293-250
210.097,0.9257628619161592,209.1245,211.0695,Brinell,relative_percent,116,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,293-250
155.07025,0.5768353375325014,154.623,155.51749999999998,Brinell,relative_percent,117,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,294-367
155.013,0.34642255810801525,154.74450000000002,155.2815,Brinell,relative_percent,118,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,294-367
154.569,0.24455097723345945,154.38,154.75799999999998,Brinell,relative_percent,119,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,294-367
116.667,1.2514249959285777,115.937,117.39699999999999,Brinell,relative_percent,120,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,290-736
119.62074999999999,0.6650184019076874,119.223,120.01849999999999,Brinell,relative_percent,121,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,290-736
116.09049999999999,0.47204551621364527,115.81649999999999,116.36449999999999,Brinell,relative_percent,122,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,290-736
466.38275,0.560591059596429,465.07550000000003,467.69,Brinell,relative_percent,123,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,293-250
465.523,0.2874186667468558,464.85400000000004,466.192,Brinell,relative_percent,124,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,293-250
465.13424999999995,0.3627984823736251,464.2905,465.97799999999995,Brinell,relative_percent,125,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,293-250
352.2265,0.17034493429652964,351.92650000000003,352.5265,Brinell,relative_percent,126,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,294-367
350.464,0.04822178597515942,350.3795,350.5485,Brinell,relative_percent,127,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,294-367
349.9715,0.16229893005572843,349.6875,350.2555,Brinell,relative_percent,128,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,294-367
