image_path,magnification,tick_index,pixel_position,assigned_position_um,fit_residual_um
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,0,298.0,0.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,1,339.0,10.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,2,380.0,20.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,3,421.0,30.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,4,462.0,40.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,5,503.0,50.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,6,544.0,60.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,7,585.0,70.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,8,626.0,80.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,9,667.0,90.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_20x.bmp,20X,10,708.0,100.0,0.0
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,0,20.0,0.0,0.0038445420152801724
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,1,40.0,2.0,0.050868533711727615
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,2,61.0,4.0,0.00024372499299740724
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,3,81.0,6.0,0.047267716689445294
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,4,102.0,8.0,-0.003357092029284914
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,5,122.0,10.0,0.043666899667162085
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,6,143.0,12.0,-0.006957909051568123
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,7,163.0,14.0,0.04006608264488065
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,8,184.0,16.0,-0.010558726073853109
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,9,205.0,18.0,-0.061183534792583316
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,10,225.0,20.0,-0.014159543096134541
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,11,245.0,22.0,0.03286444860031423
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,12,266.0,24.0,-0.017760360118415974
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,13,287.0,26.0,-0.06838516883714618
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,14,307.0,28.0,-0.021361177140697407
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,15,327.0,30.0,0.025662814555751368
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,16,348.0,32.0,-0.02496199416297884
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,17,368.0,34.0,0.02206199753346283
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,18,389.0,36.0,-0.02856281118526738
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,19,409.0,38.0,0.018461180511181396
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,20,430.0,40.0,-0.03216362820754881
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,21,450.0,42.0,0.014860363488899964
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,22,471.0,44.0,-0.035764445229830244
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,23,491.0,46.0,0.01125954646661853
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,24,512.0,48.0,-0.03936526225211168
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,25,532.0,50.0,0.007658729444337098
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,26,553.0,52.0,-0.04296607927439311
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,27,573.0,54.0,0.004057912422055665
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,28,594.0,56.0,-0.04656689629667454
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,29,614.0,58.0,0.0004570953997742322
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,30,635.0,60.0,-0.050167713318955975
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,31,655.0,62.0,-0.003143721622514306
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,32,675.0,64.0,0.04388027007393447
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,33,696.0,66.0,-0.006744538644781528
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,34,716.0,68.0,0.04027945305166725
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,35,737.0,70.0,-0.010345355667070066
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,36,757.0,72.0,0.03667863602937871
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,37,778.0,74.0,-0.013946172689358605
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,38,798.0,76.0,0.03307781900709017
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,39,819.0,78.0,-0.017546989711632932
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,40,839.0,80.0,0.029477001984815843
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,41,859.0,82.0,0.07650099368126462
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,42,880.0,84.0,0.025876184962527304
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,43,901.0,86.0,-0.024748623756195798
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,44,921.0,88.0,0.022275367940252977
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,45,942.0,90.0,-0.028349440778484336
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,46,962.0,92.0,0.01867455091796444
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,47,983.0,94.0,-0.031950257800758664
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,48,1003.0,96.0,0.0150737338956759
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,49,1024.0,98.0,-0.0355510748230472
C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\calibration\stage_micrometer_0.002mm_50x.bmp,50X,50,1044.0,100.0,0.011472916873401573
