record_id,series_id,method,picture_id,magnification,suitability_class,reason
Vickers|293-250|HV 3|1|row3,Vickers|SN=293-250|scale=HV 3|F=29.43N|mag=20X,Vickers,293-250_160_HV_3_1_20X,20X,conditionally suitable/requires review,all configured image checks passed; elevated agreement difference
Vickers|294-367|HV 3|1|row6,Vickers|SN=294-367|scale=HV 3|F=29.43N|mag=20X,Vickers,294-367_300_HV_3_1_20X,20X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Vickers|294-481|HV 3|1|row9,Vickers|SN=294-481|scale=HV 3|F=29.43N|mag=20X,Vickers,294_481_503_HV_3_1_20X,20X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Vickers|216-610|HV 3|1|row12,Vickers|SN=216-610|scale=HV 3|F=29.43N|mag=50X,Vickers,216-610_701_HV_3_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Vickers|221-101|HV 3|1|row15,Vickers|SN=221-101|scale=HV 3|F=29.43N|mag=50X,Vickers,221-101_898_HV_3_1_50X,50X,suitable for automatic measurement,configured image and agreement checks passed
Vickers|294-481|HV 20|1|row24,Vickers|SN=294-481|scale=HV 20|F=196.2N|mag=20X,Vickers,294_481_503_HV_20_1_20X,20X,unsuitable for unattended automatic measurement,No suitable indentation contour detected
Vickers|216-610|HV 20|1|row27,Vickers|SN=216-610|scale=HV 20|F=196.2N|mag=20X,Vickers,216-610_701_HV_20_1_20X,20X,suitable for automatic measurement,configured image and agreement checks passed
Vickers|221-101|HV 20|1|row30,Vickers|SN=221-101|scale=HV 20|F=196.2N|mag=20X,Vickers,221-101_898_HV_20_1_20X,20X,conditionally suitable/requires review,all configured image checks passed; elevated agreement difference
Micro-Vickers|710-404|HV 0.05|1|row3,Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,710-404_39.6_HMV_0.05_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|711-081|HV 0.05|1|row6,Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,711-081_102_HMV_0.05_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
