method,original_sheet,excel_row,serial_number,hardness_scale_raw,position,applied_force_n,magnification_raw,manual_d_um,manual_hardness,automatic_d_um,automatic_hardness,delta_um,delta_percent,magnification,hardness_scale,hardness_level,ball_diameter_mm,series_id,record_id
Knoop,Knoop,3,711-081,HK 0.05,1.0,0.4905,50x,79.238,,,,,,50X,HK 0.05,0.05,,Knoop|SN=711-081|scale=HK 0.05|F=0.4905N|mag=50X,Knoop|711-081|HK 0.05|1|row3
Knoop,Knoop,4,711-081,HK 0.05,2.0,0.4905,50x,81.54,,,,,,50X,HK 0.05,0.05,,Knoop|SN=711-081|scale=HK 0.05|F=0.4905N|mag=50X,Knoop|711-081|HK 0.05|2|row4
Knoop,Knoop,5,711-081,HK 0.05,3.0,0.4905,50x,81.6,,,,,,50X,HK 0.05,0.05,,Knoop|SN=711-081|scale=HK 0.05|F=0.4905N|mag=50X,Knoop|711-081|HK 0.05|3|row5
Knoop,Knoop,6,711-246,HK 0.05,1.0,0.4905,50x,36.686,,,,,,50X,HK 0.05,0.05,,Knoop|SN=711-246|scale=HK 0.05|F=0.4905N|mag=50X,Knoop|711-246|HK 0.05|1|row6
Knoop,Knoop,7,711-246,HK 0.05,2.0,0.4905,50x,36.54,,,,,,50X,HK 0.05,0.05,,Knoop|SN=711-246|scale=HK 0.05|F=0.4905N|mag=50X,Knoop|711-246|HK 0.05|2|row7
Knoop,Knoop,8,711-246,HK 0.05,3.0,0.4905,50x,36.103,,,,,,50X,HK 0.05,0.05,,Knoop|SN=711-246|scale=HK 0.05|F=0.4905N|mag=50X,Knoop|711-246|HK 0.05|3|row8
Knoop,Knoop,9,709-293,HK 0.05,1.0,0.4905,50x,28.275,,,,,,50X,HK 0.05,0.05,,Knoop|SN=709-293|scale=HK 0.05|F=0.4905N|mag=50X,Knoop|709-293|HK 0.05|1|row9
Knoop,Knoop,10,709-293,HK 0.05,2.0,0.4905,50x,28.515,,,,,,50X,HK 0.05,0.05,,Knoop|SN=709-293|scale=HK 0.05|F=0.4905N|mag=50X,Knoop|709-293|HK 0.05|2|row10
Knoop,Knoop,11,709-293,HK 0.05,3.0,0.4905,50x,28.493,,,,,,50X,HK 0.05,0.05,,Knoop|SN=709-293|scale=HK 0.05|F=0.4905N|mag=50X,Knoop|709-293|HK 0.05|3|row11
Knoop,Knoop,12,711-081,HK 1,1.0,9.81,10x,372.77,,,,,,10X,HK 1,1,,Knoop|SN=711-081|scale=HK 1|F=9.81N|mag=10X,Knoop|711-081|HK 1|1|row12
