method,original_sheet,excel_row,serial_number,hardness_scale_raw,position,applied_force_n,magnification_raw,manual_d1_um,manual_d2_um,manual_mean_dimension_um,manual_series_mean_dimension_um,manual_hardness,manual_series_mean_hardness,manual_expanded_uncertainty,manual_relative_expanded_uncertainty,automatic_d1_um,automatic_d2_um,automatic_mean_dimension_um,automatic_series_mean_dimension_um,automatic_hardness,automatic_series_mean_hardness,automatic_expanded_uncertainty,automatic_relative_expanded_uncertainty,picture_id,magnification,hardness_scale,hardness_level,ball_diameter_mm,series_id,record_id
Micro-Vickers,Mirco-Vickers,3,710-404,"HV 0,5",1.0,0.4905,50X,44.878,43.552,44.215,43.33583333333333,47.418,49.41866666666667,1.0646900322102812,2.1544288909931764,44.954,43.802,44.378,43.47233333333333,47.07,49.10733333333334,1.053496418336961,2.1452934762023887,710-404_39.6_HMV_0.05_1_50X,50X,HV 0.05,0.05,,Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers|710-404|HV 0.05|1|row3
Micro-Vickers,Mirco-Vickers,4,710-404,"HV 0,5",2.0,0.4905,50X,43.978,43.227,43.6025,,48.759,,,,43.997,43.381,43.689,,48.566,,,,,50X,HV 0.05,0.05,,Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers|710-404|HV 0.05|2|row4
Micro-Vickers,Mirco-Vickers,5,710-404,"HV 0,5",3.0,0.4905,50X,42.364,42.016,42.19,,52.079,,,,42.393,42.307,42.35,,51.686,,,,,50X,HV 0.05,0.05,,Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers|710-404|HV 0.05|3|row5
Micro-Vickers,Mirco-Vickers,6,711-081,"HV 0,5",1.0,0.4905,50X,28.754,28.431,28.5925,28.764166666666664,113.39,112.06099999999999,1.9573838084939867,1.7467127800876192,28.748,28.501,28.6245,28.83066666666667,113.141,111.551,1.9568708117116997,1.7542386995290942,711-081_102_HMV_0.05_1_50X,50X,HV 0.05,0.05,,Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers|711-081|HV 0.05|1|row6
Micro-Vickers,Mirco-Vickers,7,711-081,"HV 0,5",2.0,0.4905,50X,29.203,28.962,29.0825,,109.601,,,,29.39,28.959,29.174500000000002,,108.915,,,,,50X,HV 0.05,0.05,,Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers|711-081|HV 0.05|2|row7
Micro-Vickers,Mirco-Vickers,8,711-081,"HV 0,5",3.0,0.4905,50X,29.042,28.193,28.6175,,113.192,,,,29.243,28.143,28.692999999999998,,112.597,,,,,50X,HV 0.05,0.05,,Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers|711-081|HV 0.05|3|row8
Micro-Vickers,Mirco-Vickers,9,710-655,"HV 0,5",1.0,0.4905,50X,20.888,20.796,20.842,20.849166666666665,217.337,214.576,4.214523247419043,1.9641167919147733,20.921,20.887,20.904,20.885666666666665,212.139,212.53233333333333,4.187087061376156,1.9700941478909824,710-655_197_HMV_0.05_1_50X,50X,HV 0.05,0.05,,Micro-Vickers|SN=710-655|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers|710-655|HV 0.05|1|row9
Micro-Vickers,Mirco-Vickers,10,710-655,"HV 0,5",2.0,0.4905,50X,20.584,20.941,20.7625,,215.041,,,,20.441,21.023,20.732,,215.674,,,,,50X,HV 0.05,0.05,,Micro-Vickers|SN=710-655|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers|710-655|HV 0.05|2|row10
Micro-Vickers,Mirco-Vickers,11,710-655,"HV 0,5",3.0,0.4905,50X,20.701,21.185,20.942999999999998,,211.35,,,,20.762,21.28,21.021,,209.784,,,,,50X,HV 0.05,0.05,,Micro-Vickers|SN=710-655|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers|710-655|HV 0.05|3|row11
Micro-Vickers,Mirco-Vickers,12,711-081,"HV 0,5",1.0,4.905,50X,94.577,94.173,94.375,93.89833333333333,104.08,105.15033333333334,1.6827683472631627,1.60034523326586,94.669,94.387,94.52799999999999,94.04216666666666,103.743,104.827,1.604722754804343,1.5308296095513017,711-081_102_HMV_0.5_1_50X,50X,HV 0.5,0.5,,Micro-Vickers|SN=711-081|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers|711-081|HV 0.5|1|row12
