method,original_sheet,excel_row,serial_number,hardness_scale_raw,position,applied_force_n,magnification_raw,manual_d1_um,manual_d2_um,manual_mean_dimension_um,manual_series_mean_dimension_um,manual_hardness,manual_series_mean_hardness,manual_expanded_uncertainty,manual_relative_expanded_uncertainty,automatic_d1_um,automatic_d2_um,automatic_mean_dimension_um,automatic_series_mean_dimension_um,automatic_hardness,automatic_series_mean_hardness,automatic_expanded_uncertainty,automatic_relative_expanded_uncertainty,picture_id,magnification,hardness_scale,hardness_level,ball_diameter_mm,series_id,record_id
Vickers,Vickers,3,293-250,HV 3,1.0,29.43,20X,183.943,183.904,183.9235,184.55616666666666,164.421,163.59233333333333,2.536343880391079,1.5504051007225763,184.291,184.428,184.3595,184.5995,163.709,163.24066666666667,2.078115781453364,1.2730380387975408,293-250_160_HV_3_1_20X,20X,HV 3,3,,Vickers|SN=293-250|scale=HV 3|F=29.43N|mag=20X,Vickers|293-250|HV 3|1|row3
Vickers,Vickers,4,293-250,HV 3,2.0,29.43,20X,184.644,185.667,185.15550000000002,,163.12,,,,184.721,184.703,184.712,,163.02,,,,,20X,HV 3,3,,Vickers|SN=293-250|scale=HV 3|F=29.43N|mag=20X,Vickers|293-250|HV 3|2|row4
Vickers,Vickers,5,293-250,HV 3,3.0,29.43,20X,184.115,185.064,184.5895,,163.236,,,,184.334,185.12,184.727,,162.993,,,,,20X,HV 3,3,,Vickers|SN=293-250|scale=HV 3|F=29.43N|mag=20X,Vickers|293-250|HV 3|3|row5
Vickers,Vickers,6,294-367,HV 3,1.0,29.43,20X,135.504,135.211,135.35750000000002,135.06199999999998,303.553,304.9003333333333,4.231866456585793,1.38795074781348,135.698,135.197,135.4475,135.09083333333334,303.17,304.4983333333334,4.300884581348949,1.412449301205463,294-367_300_HV_3_1_20X,20X,HV 3,3,,Vickers|SN=294-367|scale=HV 3|F=29.43N|mag=20X,Vickers|294-367|HV 3|1|row6
Vickers,Vickers,7,294-367,HV 3,2.0,29.43,20X,135.058,134.521,134.78949999999998,,306.139,,,,135.251,134.327,134.789,,306.141,,,,,20X,HV 3,3,,Vickers|SN=294-367|scale=HV 3|F=29.43N|mag=20X,Vickers|294-367|HV 3|2|row7
Vickers,Vickers,8,294-367,HV 3,3.0,29.43,20X,135.182,134.896,135.039,,305.009,,,,134.85,135.222,135.036,,304.184,,,,,20X,HV 3,3,,Vickers|SN=294-367|scale=HV 3|F=29.43N|mag=20X,Vickers|294-367|HV 3|3|row8
Vickers,Vickers,9,294-481,HV 3,1.0,29.43,20X,103.915,103.59,103.7525,103.873,516.694,515.499,7.414384294119623,1.4382926628605723,103.96,104.292,104.126,104.22816666666667,512.994,511.9953333333333,7.437905978595195,1.4527292524662065,294_481_503_HV_3_1_20X,20X,HV 3,3,,Vickers|SN=294-481|scale=HV 3|F=29.43N|mag=20X,Vickers|294-481|HV 3|1|row9
Vickers,Vickers,10,294-481,HV 3,2.0,29.43,20X,103.585,104.006,103.7955,,516.266,,,,103.962,104.188,104.075,,513.497,,,,,20X,HV 3,3,,Vickers|SN=294-481|scale=HV 3|F=29.43N|mag=20X,Vickers|294-481|HV 3|2|row10
Vickers,Vickers,11,294-481,HV 3,3.0,29.43,20X,103.88,104.262,104.071,,513.537,,,,104.704,104.263,104.48349999999999,,509.495,,,,,20X,HV 3,3,,Vickers|SN=294-481|scale=HV 3|F=29.43N|mag=20X,Vickers|294-481|HV 3|3|row11
Vickers,Vickers,12,216-610,HV 3,1.0,29.43,50X,86.998,87.315,87.1565,87.48933333333333,732.203,726.6623333333333,11.41879541339894,1.5714032349824478,86.496,86.765,86.6305,87.20833333333333,740.873,731.3793333333333,14.321884911648114,1.9582020244371294,216-610_701_HV_3_1_50X,50X,HV 3,3,,Vickers|SN=216-610|scale=HV 3|F=29.43N|mag=50X,Vickers|216-610|HV 3|1|row12
Vickers,Vickers,13,216-610,HV 3,2.0,29.43,50X,87.835,87.775,87.805,,721.427,,,,87.981,88.341,88.161,,715.613,,,,,50X,HV 3,3,,Vickers|SN=216-610|scale=HV 3|F=29.43N|mag=50X,Vickers|216-610|HV 3|2|row13
Vickers,Vickers,14,216-610,HV 3,3.0,29.43,50X,87.337,87.676,87.5065,,726.357,,,,86.622,87.045,86.8335,,737.652,,,,,50X,HV 3,3,,Vickers|SN=216-610|scale=HV 3|F=29.43N|mag=50X,Vickers|216-610|HV 3|3|row14
Vickers,Vickers,15,221-101,HV 3,1.0,29.43,50X,78.239,78.245,78.242,78.17433333333334,908.555,910.1296666666667,14.1415117142299,1.5537908753181213,78.166,77.845,78.0055,77.97449999999999,914.084,914.8566666666666,15.364352792604343,1.6794273193182552,221-101_898_HV_3_1_50X,50X,HV 3,3,,Vickers|SN=221-101|scale=HV 3|F=29.43N|mag=50X,Vickers|221-101|HV 3|1|row15
Vickers,Vickers,16,221-101,HV 3,2.0,29.43,50X,78.122,78.238,78.18,,909.996,,,,77.253,77.823,77.538,,925.128,,,,,50X,HV 3,3,,Vickers|SN=221-101|scale=HV 3|F=29.43N|mag=50X,Vickers|221-101|HV 3|2|row16
Vickers,Vickers,17,221-101,HV 3,3.0,29.43,50X,78.092,78.11,78.101,,911.838,,,,78.291,78.469,78.38,,905.358,,,,,50X,HV 3,3,,Vickers|SN=221-101|scale=HV 3|F=29.43N|mag=50X,Vickers|221-101|HV 3|3|row17
Vickers,Vickers,18,293-250,HV 20,1.0,196.2,20X,478.702,478.167,478.43449999999996,479.2791666666667,161.992,161.42666666666665,4.91428485451625,3.044283175755503,478.184,477.252,477.718,479.32733333333334,162.479,161.39733333333334,6.184761752680897,3.832009875843197,,20X,HV 20,20,,Vickers|SN=293-250|scale=HV 20|F=196.2N|mag=20X,Vickers|293-250|HV 20|1|row18
Vickers,Vickers,19,293-250,HV 20,2.0,196.2,20X,481.128,481.706,481.41700000000003,,159.991,,,,481.719,482.478,482.0985,,159.539,,,,,20X,HV 20,20,,Vickers|SN=293-250|scale=HV 20|F=196.2N|mag=20X,Vickers|293-250|HV 20|2|row19
Vickers,Vickers,20,293-250,HV 20,3.0,196.2,20X,478.297,477.675,477.986,,162.297,,,,478.515,477.816,478.16549999999995,,162.174,,,,,20X,HV 20,20,,Vickers|SN=293-250|scale=HV 20|F=196.2N|mag=20X,Vickers|293-250|HV 20|3|row20
Vickers,Vickers,21,294-367,HV 20,1.0,196.2,20X,349.164,349.313,349.2385,349.19599999999997,304.015,304.09,3.798406277765244,1.2491059481618088,349.57,350.015,349.7925,349.4751666666666,303.054,303.6046666666667,3.808153495754465,1.254313228306042,,20X,HV 20,20,,Vickers|SN=294-367|scale=HV 20|F=196.2N|mag=20X,Vickers|294-367|HV 20|1|row21
Vickers,Vickers,22,294-367,HV 20,2.0,196.2,20X,349.606,349.457,349.5315,,303.506,,,,349.852,349.266,349.55899999999997,,303.458,,,,,20X,HV 20,20,,Vickers|SN=294-367|scale=HV 20|F=196.2N|mag=20X,Vickers|294-367|HV 20|2|row22
Vickers,Vickers,23,294-367,HV 20,3.0,196.2,20X,348.764,348.872,348.818,,304.749,,,,348.974,349.174,349.07399999999996,,304.302,,,,,20X,HV 20,20,,Vickers|SN=294-367|scale=HV 20|F=196.2N|mag=20X,Vickers|294-367|HV 20|3|row23
Vickers,Vickers,24,294-481,HV 20,1.0,196.2,20X,270.186,269.66,269.923,270.09549999999996,508.932,508.28399999999993,6.497027380054938,1.2782277978561076,270.038,269.777,269.9075,269.91833333333335,508.993,508.95099999999996,6.312982898154519,1.240391098191087,294_481_503_HV_20_1_20X,20X,HV 20,20,,Vickers|SN=294-481|scale=HV 20|F=196.2N|mag=20X,Vickers|294-481|HV 20|1|row24
Vickers,Vickers,25,294-481,HV 20,2.0,196.2,20X,269.873,269.85,269.8615,,509.164,,,,269.547,269.722,269.6345,,510.02,,,,,20X,HV 20,20,,Vickers|SN=294-481|scale=HV 20|F=196.2N|mag=20X,Vickers|294-481|HV 20|2|row25
Vickers,Vickers,26,294-481,HV 20,3.0,196.2,20X,270.479,270.525,270.50199999999995,,506.756,,,,270.397,270.029,270.21299999999997,,507.84,,,,,20X,HV 20,20,,Vickers|SN=294-481|scale=HV 20|F=196.2N|mag=20X,Vickers|294-481|HV 20|3|row26
Vickers,Vickers,27,216-610,HV 20,1.0,196.2,20X,227.965,227.478,227.7215,227.45366666666666,715.042,716.7313333333333,9.57269720032157,1.3356046757159918,227.615,227.823,227.719,227.16983333333334,715.058,717.44,10.042173382764933,1.399723096393417,216-610_701_HV_20_1_20X,20X,HV 20,20,,Vickers|SN=216-610|scale=HV 20|F=196.2N|mag=20X,Vickers|216-610|HV 20|1|row27
Vickers,Vickers,28,216-610,HV 20,2.0,196.2,20X,227.757,227.532,227.6445,,715.526,,,,227.073,226.9,226.9865,,716.423,,,,,20X,HV 20,20,,Vickers|SN=216-610|scale=HV 20|F=196.2N|mag=20X,Vickers|216-610|HV 20|2|row28
Vickers,Vickers,29,216-610,HV 20,3.0,196.2,20X,227.274,226.716,226.995,,719.626,,,,226.263,227.345,226.804,,720.839,,,,,20X,HV 20,20,,Vickers|SN=216-610|scale=HV 20|F=196.2N|mag=20X,Vickers|216-610|HV 20|3|row29
Vickers,Vickers,30,221-101,HV 20,1.0,196.2,20X,202.798,202.576,202.687,202.8216666666667,902.585,901.3886666666667,11.276255280425465,1.2509870267312138,202.346,203.176,202.761,202.56600000000003,901.926,903.6693333333334,12.094224786386585,1.3383462667450539,221-101_898_HV_20_1_20X,20X,HV 20,20,,Vickers|SN=221-101|scale=HV 20|F=196.2N|mag=20X,Vickers|221-101|HV 20|1|row30
Vickers,Vickers,31,221-101,HV 20,2.0,196.2,20X,203.287,202.824,203.0555,,899.312,,,,203.227,202.373,202.8,,901.579,,,,,20X,HV 20,20,,Vickers|SN=221-101|scale=HV 20|F=196.2N|mag=20X,Vickers|221-101|HV 20|2|row31
Vickers,Vickers,32,221-101,HV 20,3.0,196.2,20X,202.939,202.506,202.7225,,902.269,,,,202.175,202.099,202.137,,907.503,,,,,20X,HV 20,20,,Vickers|SN=221-101|scale=HV 20|F=196.2N|mag=20X,Vickers|221-101|HV 20|3|row32
Vickers,Vickers,33,293-250,HV 50,1.0,490.5,20X,756.607,756.335,756.471,756.2575,162.0,162.1,6.9688714625615775,4.299118730759764,756.809,757.33,757.0695000000001,756.645,162.0,162.03333333333333,7.300092025215836,4.505302628193275,,20X,HV 50,50,,Vickers|SN=293-250|scale=HV 50|F=490.5N|mag=20X,Vickers|293-250|HV 50|1|row33
Vickers,Vickers,34,293-250,HV 50,2.0,490.5,20X,758.557,759.2,758.8785,,161.0,,,,758.982,759.583,759.2825,,160.8,,,,,20X,HV 50,50,,Vickers|SN=293-250|scale=HV 50|F=490.5N|mag=20X,Vickers|293-250|HV 50|2|row34
Vickers,Vickers,35,293-250,HV 50,3.0,490.5,20X,753.114,753.732,753.423,,163.3,,,,753.544,753.622,753.583,,163.3,,,,,20X,HV 50,50,,Vickers|SN=293-250|scale=HV 50|F=490.5N|mag=20X,Vickers|293-250|HV 50|3|row35
Vickers,Vickers,36,294-367,HV 50,1.0,490.5,20X,550.791,552.234,551.5125,551.6933333333334,304.8,304.6333333333334,3.866439485960346,1.2692109046811506,550.99,552.97,551.98,551.7326666666667,304.3,304.56666666666666,3.850968128150784,1.2644089290196292,,20X,HV 50,50,,Vickers|SN=294-367|scale=HV 50|F=490.5N|mag=20X,Vickers|294-367|HV 50|1|row36
Vickers,Vickers,37,294-367,HV 50,2.0,490.5,20X,552.214,552.175,552.1945000000001,,304.1,,,,552.339,551.633,551.9860000000001,,304.3,,,,,20X,HV 50,50,,Vickers|SN=294-367|scale=HV 50|F=490.5N|mag=20X,Vickers|294-367|HV 50|2|row37
Vickers,Vickers,38,294-367,HV 50,3.0,490.5,20X,550.944,551.802,551.373,,305.0,,,,550.974,551.49,551.232,,305.1,,,,,20X,HV 50,50,,Vickers|SN=294-367|scale=HV 50|F=490.5N|mag=20X,Vickers|294-367|HV 50|3|row38
Vickers,Vickers,39,294-481,HV 50,1.0,490.5,20X,426.107,426.543,426.32500000000005,426.5371666666667,510.1,509.59999999999997,5.811610962038745,1.1404260129589374,426.539,426.462,426.5005,426.8151666666666,509.7,508.9333333333334,6.262378442535745,1.2304909174487315,,20X,HV 50,50,,Vickers|SN=294-481|scale=HV 50|F=490.5N|mag=20X,Vickers|294-481|HV 50|1|row39
Vickers,Vickers,40,294-481,HV 50,2.0,490.5,20X,426.331,427.089,426.71000000000004,,509.2,,,,426.734,427.684,427.209,,508.0,,,,,20X,HV 50,50,,Vickers|SN=294-481|scale=HV 50|F=490.5N|mag=20X,Vickers|294-481|HV 50|2|row40
Vickers,Vickers,41,294-481,HV 50,3.0,490.5,20X,426.65,426.503,426.5765,,509.5,,,,427.247,426.225,426.736,,509.1,,,,,20X,HV 50,50,,Vickers|SN=294-481|scale=HV 50|F=490.5N|mag=20X,Vickers|294-481|HV 50|3|row41
