method,model,lambda_ratio,n,intercept,slope,residual_sd,intercept_ci_low,intercept_ci_high,slope_ci_low,slope_ci_high,measurand
Brinell,unweighted_deming,0.5,36,4.881729838823048,1.0046895971995706,13.49098846091774,-1.9772057456652248,13.009448722925761,1.0026049792057639,1.0161274453415423,individual_dimension
Brinell,unweighted_deming,1.0,36,4.900686302969689,1.0046769179738768,13.490888768802632,-1.9614979557824255,13.055107246963845,1.0025864070110002,1.0160948494713034,individual_dimension
Brinell,unweighted_deming,2.0,36,4.919701586498832,1.0046641994062349,13.490817231608213,-1.9456165254046651,13.100855418346221,1.0025744315538159,1.0160619058958789,individual_dimension
Micro-Vickers,unweighted_deming,0.5,54,-0.20444842912851868,1.002159599991164,0.26374299767998544,-0.4452903285986295,0.05466863498705851,0.9980616815703084,1.0042043749110947,individual_dimension
Micro-Vickers,unweighted_deming,1.0,54,-0.2039870138825819,1.0021528592386344,0.263741961044351,-0.44446248156081686,0.05531621708849048,0.9980497435519426,1.004190027236876,individual_dimension
Micro-Vickers,unweighted_deming,2.0,54,-0.20352493973861385,1.002146108860353,0.2637412190186605,-0.4437676618762712,0.05596347871785436,0.9980378212023567,1.0041788152042392,individual_dimension
Vickers,unweighted_deming,0.5,60,-0.19842991968067736,1.0004334114592661,0.3496700917188124,-0.3828686015988382,0.0019190542996838356,0.9999830287430772,1.0007679806203538,individual_dimension
Vickers,unweighted_deming,1.0,60,-0.19830819010252299,1.000433105559638,0.3496700293283302,-0.3827415712627328,0.0020815329128595016,0.99998223059198,1.0007675476844031,individual_dimension
Vickers,unweighted_deming,2.0,60,-0.1981864254162815,1.0004327995717854,0.3496699847446027,-0.3826144847282308,0.002244021582347928,0.9999814324509739,1.000767114527147,individual_dimension
Brinell,unweighted_deming,0.5,12,-1.148679958183095,0.9881701958611699,6.221842069815853,-4.6491090419891865,7.88572621697675,0.9437620024248335,1.0022730077917734,series_mean_hardness
Brinell,unweighted_deming,1.0,12,-1.0705509283580454,0.9879131768795997,6.220907237650994,-4.568863619543801,7.920639949054745,0.9433101351204063,1.0022077387407935,series_mean_hardness
Brinell,unweighted_deming,2.0,12,-0.9930729660018187,0.987658299697283,6.220247744382128,-4.553244120254678,7.953963900790893,0.942875706901667,1.0021805573219635,series_mean_hardness
Micro-Vickers,unweighted_deming,0.5,18,-2.7699876925311173,1.0121291432638329,6.541809307377882,-7.853294886016004,-0.10208519519247457,1.001692799267924,1.0271189497911322,series_mean_hardness
Micro-Vickers,unweighted_deming,1.0,18,-2.738498735737437,1.0120601322768537,6.541546582727428,-7.804288400454102,-0.09474837317186674,1.0016826560806622,1.0269815753286515,series_mean_hardness
Micro-Vickers,unweighted_deming,2.0,18,-2.706759274625938,1.011990572286288,6.541356699674384,-7.736551201943692,-0.08740869384659972,1.0016725016247405,1.0268253422661948,series_mean_hardness
Vickers,unweighted_deming,0.5,20,-1.528463378993706,1.004175608726407,1.4945117382162494,-2.7492647278633924,-0.7443568937657191,1.0019953411255131,1.0064684740834264,series_mean_hardness
Vickers,unweighted_deming,1.0,20,-1.5259117028873561,1.0041706870675662,1.4945074509637402,-2.7425134291015865,-0.7433793253520649,1.0019895906137803,1.006465441908576,series_mean_hardness
Vickers,unweighted_deming,2.0,20,-1.5233529494295226,1.0041657517579683,1.4945043760127046,-2.7357328323467316,-0.7424005381636435,1.0019838325085202,1.0064604944539925,series_mean_hardness
