method,scope,identifier,reason
Image file,image,100_HBW_10_3000_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,100_HBW_10_500_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,100_HBW_10_500_1_20X.bmp,Image file has no exact workbook Picture ID match
Image file,image,100_HBW_1_30_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,100_HK_0.05_1_50X.bmp,Image file has no exact workbook Picture ID match
Image file,image,100_HK_1_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,100_HK_2_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,216-610_701_HV_100_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,216-610_701_HV_50_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,221-101_898_HV_100_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,221-101_898_HV_50_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,293-250_160_HV_20_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,294-367_300_HV_20_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,294-367_300_HV_50_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,294_481_503_HV_50_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,300_HBW_10_3000_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,300_HBW_10_500_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,300_HBW_1_30_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,300_HBW_1_30_1_20X.bmp,Image file has no exact workbook Picture ID match
Image file,image,500_HK_0.05_1_50X.bmp,Image file has no exact workbook Picture ID match
Image file,image,500_HK_1_1_20X.bmp,Image file has no exact workbook Picture ID match
Image file,image,500_HK_2_1_20X.bmp,Image file has no exact workbook Picture ID match
Image file,image,500_KH_1_1_20X.bmp,Image file has no exact workbook Picture ID match
Image file,image,600_HBW_10_3000_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,600_HBW_10_3000_1_20X.bmp,Image file has no exact workbook Picture ID match
Image file,image,600_HBW_10_500_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,600_HBW_1_30_1_10X.bmp,Image file has no exact workbook Picture ID match
Image file,image,600_HBW_1_30_1_20X.bmp,Image file has no exact workbook Picture ID match
Image file,image,900_HK_0.05_1_50X.bmp,Image file has no exact workbook Picture ID match
Image file,image,900_HK_2_1_20X.bmp,Image file has no exact workbook Picture ID match
