image_kind,file,width_px,height_px,mode
calibration,stage_micrometer_0.002mm_20x.bmp,1056,896,P
calibration,stage_micrometer_0.002mm_50x.bmp,1056,896,P
indentation,100_HBW_10_3000_1_10X.bmp,1056,896,P
indentation,100_HBW_10_500_1_10X.bmp,1056,896,P
indentation,100_HBW_10_500_1_20X.bmp,1056,896,P
indentation,100_HBW_1_30_1_10X.bmp,1056,896,P
indentation,100_HBW_1_5_1_20X.bmp,1056,896,P
indentation,100_HK_0.05_1_50X.bmp,1056,896,P
indentation,100_HK_1_1_10X.bmp,1056,896,P
indentation,100_HK_2_1_10X.bmp,1056,896,P
indentation,216-610_701_HV_100_1_10X.bmp,1056,896,P
indentation,216-610_701_HV_20_1_20X.bmp,1056,896,P
indentation,216-610_701_HV_3_1_50X.bmp,1056,896,P
indentation,216-610_701_HV_50_1_10X.bmp,1056,896,P
indentation,221-101_898_HV_100_1_10X.bmp,1056,896,P
indentation,221-101_898_HV_20_1_20X.bmp,1056,896,P
indentation,221-101_898_HV_3_1_50X.bmp,1056,896,P
indentation,221-101_898_HV_50_1_10X.bmp,1056,896,P
indentation,293-250_160_HV_20_1_10X.bmp,1056,896,P
indentation,293-250_160_HV_3_1_20X.bmp,1056,896,P
indentation,294-367_300_HV_20_1_10X.bmp,1056,896,P
indentation,294-367_300_HV_3_1_20X.bmp,1056,896,P
indentation,294-367_300_HV_50_1_10X.bmp,1056,896,P
indentation,294_481_503_HV_20_1_20X.bmp,1056,896,P
indentation,294_481_503_HV_3_1_20X.bmp,1056,896,P
indentation,294_481_503_HV_50_1_10X.bmp,1056,896,P
indentation,300_HBW_10_3000_1_10X.bmp,1056,896,P
indentation,300_HBW_10_500_1_10X.bmp,1056,896,P
indentation,300_HBW_1_30_1_10X.bmp,1056,896,P
indentation,300_HBW_1_30_1_20X.bmp,1056,896,P
indentation,300_HBW_1_5_1_20X.bmp,1056,896,P
indentation,500_HK_0.05_1_50X.bmp,1056,896,P
indentation,500_HK_1_1_20X.bmp,1056,896,P
indentation,500_HK_2_1_20X.bmp,1056,896,P
indentation,500_KH_1_1_20X.bmp,1056,896,P
indentation,600_HBW_10_3000_1_10X.bmp,1056,896,P
indentation,600_HBW_10_3000_1_20X.bmp,1056,896,P
indentation,600_HBW_10_500_1_10X.bmp,1056,896,P
indentation,600_HBW_1_30_1_10X.bmp,1056,896,P
indentation,600_HBW_1_30_1_20X.bmp,1056,896,P
indentation,600_HBW_1_5_1_20X.bmp,1056,896,P
indentation,706-437_307_HMV_0.5_1_50X.bmp,1056,896,P
indentation,706-437_307_HMV_1_1_50X.bmp,1056,896,P
indentation,706-437_307_HMV_1_2_50X.bmp,1056,896,P
indentation,706-437_307_HMV_2_1_50X.bmp,1056,896,P
indentation,709-293_904_HMV_0.5_1_50X.bmp,1056,896,P
indentation,709-293_904_HMV_1_1_50X.bmp,1056,896,P
indentation,709-293_904_HMV_2_1_50X.bmp,1056,896,P
indentation,710-106_708_HMV_0.5_1_50X.bmp,1056,896,P
indentation,710-106_708_HMV_1_1_50X.bmp,1056,896,P
indentation,710-106_708_HMV_2_1_50X.bmp,1056,896,P
indentation,710-404_39.6_HMV_0.05_1_50X.bmp,1056,896,P
indentation,710-655_197_HMV_0.05_1_50X.bmp,1056,896,P
indentation,711-081_102_HMV_0.05_1_50X.bmp,1056,896,P
indentation,711-081_102_HMV_0.5_1_50X.bmp,1056,896,P
indentation,711-081_102_HMV_1_1_20X.bmp,1056,896,P
indentation,711-081_102_HMV_2_1_20X.bmp,1056,896,P
indentation,711-246_502_HMV_0.5_1_50X.bmp,1056,896,P
indentation,711-246_502_HMV_1_1_50X.bmp,1056,896,P
indentation,711-246_502_HMV_1_3_50X.bmp,1056,896,P
indentation,711-246_502_HMV_2_1_50X.bmp,1056,896,P
indentation,900_HK_0.05_1_50X.bmp,1056,896,P
indentation,900_HK_2_1_20X.bmp,1056,896,P
