method,source,magnification,series_count,mean_sd_um,median_sd_um,mean_abs_d1_minus_d2_um
Brinell,automatic,10X,1,21.39485866588835,21.39485866588835,40.62999999999996
Brinell,automatic,20X,11,5.6574846532886705,1.8837035550567203,7.469575757575722
Brinell,manual,10X,1,1.33009833596361,1.33009833596361,1.1236666666666981
Brinell,manual,20X,11,2.6927118625055075,1.1730256817308,1.5443333333333678
Micro-Vickers,automatic,20X,3,0.7991640867486188,0.4751016557888797,0.908555555555561
Micro-Vickers,automatic,50X,15,0.4374289447277024,0.29729446681699556,0.4635111111111105
Micro-Vickers,manual,20X,3,0.7894556629667816,0.47771234371045374,0.9062222222222182
Micro-Vickers,manual,50X,15,0.35824372752261807,0.2510717029057631,0.36279999999999923
Vickers,automatic,20X,18,0.7625617534312908,0.3636681061522413,0.6546111111111141
Vickers,automatic,50X,2,0.6265543753538277,0.6265543753538277,0.35349999999999915
Vickers,manual,20X,18,0.7052121272513069,0.3560116892920968,0.5898333333333354
Vickers,manual,50X,2,0.19763061850088193,0.19763061850088193,0.1426666666666634
